Tên công ty,Mã số thuế,Địa chỉ,Số điện thoại,Người đại diện,Điện thoại cố định,Link
CÔNG TY TNHH ĐẦU TƯ BÌNH MINH VIỆT NAM,0109141094,"Số nhà 4N1, ngõ 100 Võ Chí Công, Phường Xuân La, Quận Tây Hồ, Thành phố Hà Nội",0334453714,BÙI THỊ HẠNH,0334453714,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=127735
CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT TPCOM,,"Số 27 ngõ 149 Nguyễn Ngọc Nại, phường Khương Mai, quận Thanh Xuân, Hà Nội, Phường Khương Mai, Quận Thanh Xuân, Thành phố Hà Nội",,Nguyễn Cao Phong,0914036868,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=128529
"CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI, DỊCH VỤ VÀ TRANG THIẾT BỊ Y TẾ ĐẠI HỮU",,"Số 02 Lô BT10 khu nhà ở sinh thái Xuân Phương, Phường Xuân Phương, Quận Nam Từ Liêm, Thành phố Hà Nội",,Nguyễn Hữu Hà Huy,0989146568,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=128968
CÔNG TY CỔ PHẦN THÁI SƠN BÙI,,"Tòa nhà No28 lô 31 khu dịch vụ thương mại và nhà ở Hà Trì, đường Hà Trì, Phường Hà Cầu, Quận Hà Đông, Thành phố Hà Nội",,Bùi Đức Tùng,0973836789,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=129059
CÔNG TY TNHH IDS MEDICAL SYSTEMS VIỆT NAM - CHI NHÁNH HÀ NỘI,,"Tầng 22, tòa nhà VCCI, số 09 đường Đào Duy Anh,, Phường Phương Mai, Quận Đống Đa, Thành phố Hà Nội",,LIM GOOI HWA,024 3388 0808,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=128000
CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN THƯƠNG MẠI AN HƯNG,0108192307,"SỐ NHÀ 19, NGÁCH 29/16 KHƯƠNG HẠ, PHƯỜNG KHƯƠNG ĐÌNH, QUẬN THANH XUÂN, HÀ NỘI, Phường Khương Đình, Quận Thanh Xuân, Thành phố Hà Nội",,NGUYỄN VIẾT HƯNG,0979280055,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=127959
CÔNG TY CỔ PHẦN ĐẦU TƯ Y TẾ VIỆT NAM,,"Số 5 ngõ 36/8 Nguyễn Viết Xuân, Phường Khương Mai, Quận Thanh Xuân, Thành phố Hà Nội",,Nguyễn Danh Hưng,02439378115,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=128056
CÔNG TY CỔ PHẦN ĐẦU TƯ Y TẾ VIỆT NAM,,"Số 5 ngõ 36/8 Nguyễn Viết Xuân, Phường Khương Mai, Quận Thanh Xuân, Thành phố Hà Nội",,Nguyễn Danh Hưng,02439378115,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=128057
CÔNG TY CỔ PHẦN ĐẦU TƯ Y TẾ VIỆT NAM,,"Số 5 ngõ 36/8 Nguyễn Viết Xuân, Phường Khương Mai, Quận Thanh Xuân, Thành phố Hà Nội",,Nguyễn Danh Hưng,02439378115,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=128054
CÔNG TY CỔ PHẦN ĐẦU TƯ Y TẾ VIỆT NAM,,"Số 5 ngõ 36/8 Nguyễn Viết Xuân, Phường Khương Mai, Quận Thanh Xuân, Thành phố Hà Nội",,Nguyễn Danh Hưng,02439378115,https://dmec.moh.gov.vn/xem-ho-so?p_p_id=xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_redirectVanBanURL=%2Fvan-ban-cong-bo%3Fp_p_id%3Dvanbancongbo_WAR_trangthietbiyteportlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_keyword%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_showHide%3D1%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiTu%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_ngayGuiDen%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_tenDoanhNghiep%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_coQuanQuanLyId%3D13515%26_vanbancongbo_WAR_trangthietbiyteportlet_tthcId%3D0%26_vanbancongbo_WAR_trangthietbiyteportlet_delta%3D200%26_vanbancongbo_WAR_trangthietbiyteportlet_keywords%3D%26_vanbancongbo_WAR_trangthietbiyteportlet_advancedSearch%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_andOperator%3Dtrue%26_vanbancongbo_WAR_trangthietbiyteportlet_resetCur%3Dfalse%26_vanbancongbo_WAR_trangthietbiyteportlet_cur%3D1&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_mvcPath=%2Fhtml%2Fdvc%2Fportlet%2Fxemhoso%2Fview.jsp&_xemhoso_WAR_oepdvcportlet_INSTANCE_kQO8yaBj8PpU_hoSoId=128053
